perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Par:Eden:Space:u(a-b),MaGC:Par:Eden:Space:c(a-b),MaGC:Par:Eden:Space:u(a),MaGC:Par:Eden:Space:u(b),MaGC:Par:Eden:Space:c(a),MaGC:Par:Eden:Space:c(b),MaGC:Par:Eden:Space:i(a),MaGC:Par:Eden:Space:i(b),MaGC:Par:Eden:Space:m(a),MaGC:Par:Eden:Space:m(b),MaGC:CMS:Old:Gen:u(a-b),MaGC:CMS:Old:Gen:c(a-b),MaGC:CMS:Old:Gen:u(a),MaGC:CMS:Old:Gen:u(b),MaGC:CMS:Old:Gen:c(a),MaGC:CMS:Old:Gen:c(b),MaGC:CMS:Old:Gen:i(a),MaGC:CMS:Old:Gen:i(b),MaGC:CMS:Old:Gen:m(a),MaGC:CMS:Old:Gen:m(b),MaGC:Par:Survivor:Space:u(a-b),MaGC:Par:Survivor:Space:c(a-b),MaGC:Par:Survivor:Space:u(a),MaGC:Par:Survivor:Space:u(b),MaGC:Par:Survivor:Space:c(a),MaGC:Par:Survivor:Space:c(b),MaGC:Par:Survivor:Space:i(a),MaGC:Par:Survivor:Space:i(b),MaGC:Par:Survivor:Space:m(a),MaGC:Par:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
85573,209715200,9372856,200342344,85571,69926912,48615048,21311864,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,19,3.91013704E8,4.8615048E7,0.0,4.8615048E7,66517.0,85410,85463,53,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,121176,0,48615048,48493872,69926912,69926912,69926912,69926912,69926912,69926912,302784,0,1263088,960304,3473408,3473408,3473408,3473408,3473408,3473408
89239,209715200,9373480,200341720,89238,69926912,48616560,21310352,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,20,4.18924648E8,4.861656E7,0.0,4.861656E7,70272.0,89204,89218,14,-27910944,0,0,27910944,27983872,27983872,27983872,27983872,27983872,27983872,1512,0,48616560,48615048,69926912,69926912,69926912,69926912,69926912,69926912,-190584,0,1072504,1263088,3473408,3473408,3473408,3473408,3473408,3473408
92541,209715200,9374088,200341112,92539,69926912,48646200,21280712,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,21,4.4690852E8,4.86462E7,0.0,4.86462E7,73485.0,92425,92431,6,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,29640,0,48646200,48616560,69926912,69926912,69926912,69926912,69926912,69926912,278264,0,1350768,1072504,3473408,3473408,3473408,3473408,3473408,3473408
97166,209715200,9374472,200340728,97164,69926912,48734304,21192608,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,22,4.74876008E8,4.8734304E7,0.0,4.8734304E7,78155.0,97097,97101,4,-27967488,0,0,27967488,27983872,27983872,27983872,27983872,27983872,27983872,88104,0,48734304,48646200,69926912,69926912,69926912,69926912,69926912,69926912,-905952,0,720840,1626792,3473408,3473408,3473408,3473408,3473408,3473408
100579,209715200,9376600,200338600,100577,69926912,48763504,21163408,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,23,5.0284764E8,4.8763504E7,0.0,4.8763504E7,81628.0,100535,100574,39,-27971632,0,0,27971632,27983872,27983872,27983872,27983872,27983872,27983872,29200,0,48763504,48734304,69926912,69926912,69926912,69926912,69926912,69926912,482672,0,1203512,720840,3473408,3473408,3473408,3473408,3473408,3473408
104586,209715200,9376912,200338288,104585,69926912,48851104,21075808,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,24,5.306092E8,4.8851104E7,0.0,4.8851104E7,85631.0,104573,104577,4,-27761560,0,0,27761560,27983872,27983872,27983872,27983872,27983872,27983872,87600,0,48851104,48763504,69926912,69926912,69926912,69926912,69926912,69926912,-128960,0,1074552,1203512,3473408,3473408,3473408,3473408,3473408,3473408
108462,209715200,9377600,200337600,108431,69926912,48880304,21046608,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,25,5.58541768E8,4.8880304E7,0.0,4.8880304E7,89505.0,108445,108451,6,-27932568,0,0,27932568,27983872,27983872,27983872,27983872,27983872,27983872,29200,0,48880304,48851104,69926912,69926912,69926912,69926912,69926912,69926912,-215688,0,1272912,1488600,3473408,3473408,3473408,3473408,3473408,3473408
112314,209715200,9378424,200336776,112312,69926912,48909664,21017248,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,26,5.8651228E8,4.8909664E7,0.0,4.8909664E7,93365.0,112305,112311,6,-27970512,0,0,27970512,27983872,27983872,27983872,27983872,27983872,27983872,29360,0,48909664,48880304,69926912,69926912,69926912,69926912,69926912,69926912,59488,0,1332400,1272912,3473408,3473408,3473408,3473408,3473408,3473408
115719,209715200,9382016,200333184,115718,69926912,48968320,20958592,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,27,6.14487216E8,4.896832E7,0.0,4.896832E7,96710.0,115652,115656,4,-27974936,0,0,27974936,27983872,27983872,27983872,27983872,27983872,27983872,58656,0,48968320,48909664,69926912,69926912,69926912,69926912,69926912,69926912,-233224,0,1099176,1332400,3473408,3473408,3473408,3473408,3473408,3473408
119230,209715200,9382016,200333184,119228,69926912,49026648,20900264,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,28,6.42461E8,4.9026648E7,0.0,4.9026648E7,100282.0,119223,119228,5,-27973784,0,0,27973784,27983872,27983872,27983872,27983872,27983872,27983872,58328,0,49026648,48968320,69926912,69926912,69926912,69926912,69926912,69926912,340480,0,1439656,1099176,3473408,3473408,3473408,3473408,3473408,3473408
